State,abbreviation,Prison Only,Prison & Parole,"Prison, Parole & Probation","Prison, parole, probation, & post-sentence"
Alabama,AL,0,0,0,1
Alaska,AK,0,0,1,0
Arizona,AZ,0,0,0,1
Arkansas,AR,0,0,1,0
California,CA,0,1,0,0
Colorado,CO,0,1,0,0
Connecticut,CT,0,1,0,0
Delaware,DE,0,0,0,1
District of Columbia,DC,1,0,0,0
Florida,FL,0,0,0,1
Georgia,GA,0,0,1,0
Hawaii,HI,1,0,0,0
Idaho,ID,0,0,1,0
Illinois,IL,1,0,0,0
Indiana,IN,1,0,0,0
Iowa,IA,0,0,0,1
Kansas,KS,0,0,1,0
Kentucky,KY,0,0,0,1
Louisiana,LA,0,0,1,0
Maine,ME,0,0,0,0
Maryland,MD,1,0,0,0
Massachusetts,MA,1,0,0,0
Michigan,MI,1,0,0,0
Minnesota,MN,0,0,1,0
Mississippi,MS,0,0,0,1
Missouri,MO,0,0,1,0
Montana,MT,1,0,0,0
Nebraska,NE,0,0,0,1
Nevada,NV,0,0,0,1
New Hampshire,NH,1,0,0,0
New Jersey,NJ,0,0,1,0
New Mexico,NM,0,0,1,0
New York,NY,0,1,0,0
North Carolina,NC,0,0,1,0
North Dakota,ND,1,0,0,0
Ohio,OH,1,0,0,0
Oklahoma,OK,0,0,1,0
Oregon,OR,1,0,0,0
Pennsylvania,PA,1,0,0,0
Rhode Island,RI,1,0,0,0
South Carolina,SC,0,0,1,0
South Dakota,SD,0,0,1,0
Tennessee,TN,0,0,0,1
Texas,TX,0,0,1,0
Utah,UT,1,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,0,0,0,1
Washington,WA,0,0,1,0
West Virginia,WV,0,0,1,0
Wisconsin,WI,0,0,1,0
Wyoming,WY,0,0,0,1
