,Id_x,Id2,Geography_x,LaborForce,Unemployed,Unemployment_rate,Drive_alone,Carpool,Public transportation,Walk,Other commute,Work at home,Commute_time,"Management, business, science, and arts occupations",Service,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Private,Public,Self-employed,Unpaid family workers,Poverty Percentage,Total population,Male,Female,Median age (years),18 years and over,18 years and over - Male,18 years and over - Female,RACE-One-race,White,African American,Native American,Asian,Pacific Islander,Other_x,18 and over population,18 and over population - Male,18 and over population - Female,Median household income,Per capita income,Median earnings for male,Median earnings for female,Id,Geography,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Percent With a disability,fips,county,st,state.name,Other_y,Clinton,Trump,total_votes
0,0500000US01001,1001,"Autauga County, Alabama",25699,1437,5.6,86.8,9.2,0.1,0.5,1.4,2.1,26.1,33.8,17.5,24.2,7.9,16.7,73.2,21.2,5.6,0.0,12.3,55049,26877,28172,37.8,41196,19755,21441,53972,0.783943526273,0.188912769584,0.00418735640703,0.00822648780849,0.000574371896539,0.0141554880308,40692,19464,21228,53099,26168,48302,31865,0500000US01001,"Autauga County, Alabama",36466,3.6,8.8,34.3,21.5,7.1,14.3,10.3,87.6,24.6,18.4,1001.0,Autauga County,AL,Alabama,0.0260735574389,0.239568549532,0.734357893029,24661.0
1,0500000US01003,1003,"Baldwin County, Alabama",93640,5887,6.3,84.6,7.6,0.2,1.1,1.3,5.1,27.2,34.2,17.1,26.8,10.5,11.4,81.3,12.6,5.9,0.2,13.0,199510,97371,102139,42.3,155240,74793,80447,195494,0.88207822235,0.0951128934903,0.00693115901255,0.00684419982199,0.0,0.00903352532559,151769,72829,78940,51365,28069,47003,35150,0500000US01003,"Baldwin County, Alabama",139946,2.8,7.1,28.7,22.4,9.4,19.3,10.2,90.0,29.5,13.9,1003.0,Baldwin County,AL,Alabama,0.0308321819534,0.195653098098,0.773514719949,94090.0
2,0500000US01005,1005,"Barbour County, Alabama",10316,1323,12.8,82.8,11.7,0.4,2.1,1.7,1.3,23.7,26.7,15.5,22.2,11.8,23.8,73.7,19.1,6.9,0.2,26.4,26614,14239,12375,38.7,20879,11296,9583,26460,0.469765684051,0.4820861678,0.00173847316704,0.00487528344671,0.0,0.0415343915344,20373,10909,9464,33956,17249,36801,26336,0500000US01005,"Barbour County, Alabama",18387,8.4,17.9,34.9,17.8,8.2,7.8,5.1,73.8,12.9,21.5,1005.0,Barbour County,AL,Alabama,0.0106833493744,0.466602502406,0.522714148219,10390.0
3,0500000US01007,1007,"Bibb County, Alabama",8997,643,7.1,85.1,11.2,0.5,0.5,1.4,1.2,29.1,21.3,17.7,19.1,16.6,25.2,76.7,17.1,5.9,0.3,16.5,22572,12084,10488,40.2,17816,9589,8227,22261,0.780288396748,0.215084677238,0.00363865055478,0.000628902565024,0.0,0.000359372894299,17589,9478,8111,39776,18988,40051,29792,0500000US01007,"Bibb County, Alabama",15750,5.8,13.5,41.8,21.1,5.8,6.2,5.8,80.7,12.0,14.8,1007.0,Bibb County,AL,Alabama,0.0161179698217,0.214220393233,0.769661636946,8748.0
4,0500000US01009,1009,"Blount County, Alabama",22960,1367,6.0,86.1,10.1,0.2,0.9,0.4,2.2,35.1,29.3,12.6,23.7,14.6,19.8,83.3,12.5,3.7,0.5,16.5,57704,28572,29132,40.8,44103,21669,22434,56772,0.970073275558,0.0159409568097,0.00354047770027,0.00162051715634,0.0,0.00882477277531,42432,20677,21755,46212,21033,43397,35225,0500000US01009,"Blount County, Alabama",39472,6.9,13.0,32.9,22.5,11.6,8.9,4.1,80.0,13.0,14.9,1009.0,Blount County,AL,Alabama,0.0167822250236,0.0846990230066,0.89851875197,25384.0
5,0500000US01011,1011,"Bullock County, Alabama",4812,638,13.3,76.4,12.3,0.4,5.6,2.7,2.6,26.4,17.5,17.5,19.5,15.7,29.8,76.4,16.8,6.8,0.0,26.9,10552,5719,4833,39.2,8278,4562,3716,10437,0.220465651049,0.763341956501,0.00804828973843,0.00804828973843,0.0,9.58129730766e-05,8195,4562,3633,29335,17909,36079,21756,0500000US01011,"Bullock County, Alabama",7333,7.6,25.9,34.1,18.3,3.9,4.9,5.4,66.6,10.3,17.6,1011.0,Bullock County,AL,Alabama,0.00680706232716,0.750904062965,0.242288874708,4701.0
6,0500000US01013,1013,"Butler County, Alabama",8659,849,9.8,85.1,11.3,0.0,0.8,0.6,2.2,23.2,28.1,17.1,20.1,11.0,23.6,78.9,15.5,5.3,0.3,25.7,20280,9522,10758,40.6,15547,7049,8498,20013,0.543446759606,0.443461749863,0.000749512816669,0.0101434067856,0.0,0.0021985709289,15427,6960,8467,34315,19011,39894,26380,0500000US01013,"Butler County, Alabama",13949,7.1,11.9,39.9,17.2,8.0,9.5,6.6,81.1,16.1,19.4,1013.0,Butler County,AL,Alabama,0.00898100172712,0.427864133564,0.563154864709,8685.0
7,0500000US01015,1015,"Calhoun County, Alabama",53228,6218,11.7,85.0,9.6,0.2,1.4,1.1,2.6,24.6,28.3,17.5,23.8,10.4,20.0,74.6,20.4,4.9,0.1,19.6,115883,55742,60141,39.1,90242,42668,47574,113256,0.766202232111,0.210063925973,0.00337288973653,0.00952708907254,5.29773257046e-05,0.0107808857809,88523,41809,46714,41954,22231,42009,31293,0500000US01015,"Calhoun County, Alabama",78661,5.5,12.2,32.1,25.3,7.3,10.5,7.2,82.3,17.7,20.4,1015.0,Calhoun County,AL,Alabama,0.0290442418102,0.278558763931,0.692396994259,47376.0
8,0500000US01017,1017,"Chambers County, Alabama",15167,1136,7.5,88.0,8.6,0.2,0.7,0.3,2.2,24.5,23.1,13.6,25.2,11.7,26.4,84.4,12.2,3.4,0.0,20.3,34018,16299,17719,43.1,26735,12581,14154,33628,0.577405733317,0.40974782919,0.00231949565838,0.00927798263352,0.0,0.00124895920067,26479,12417,14062,36027,21532,37466,29606,0500000US01017,"Chambers County, Alabama",23854,5.6,14.2,39.4,20.3,8.0,8.7,3.7,80.3,12.5,17.7,1017.0,Chambers County,AL,Alabama,0.0153868485992,0.418275511685,0.566337639715,13778.0
9,0500000US01019,1019,"Cherokee County, Alabama",10827,634,5.9,84.6,12.1,0.5,0.6,0.3,1.9,27.6,31.0,15.8,17.7,12.7,22.8,73.1,18.8,7.9,0.2,16.4,25897,12883,13014,45.7,20571,10145,10426,25628,0.942562821914,0.0471749648822,0.00593101295458,0.00425316060559,0.0,7.80396441392e-05,20507,10109,10398,38925,22544,40348,30877,0500000US01019,"Cherokee County, Alabama",18694,5.9,12.9,36.0,23.0,8.4,7.8,6.1,81.3,14.0,21.4,1019.0,Cherokee County,AL,Alabama,0.0161858516614,0.1451013996,0.838712748738,10503.0
