Id,Id2,Geography,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Percent With a disability
0500000US01001,1001,"Autauga County, Alabama",36466,3.6,8.8,34.3,21.5,7.1,14.3,10.3,87.6,24.6,18.4
0500000US01003,1003,"Baldwin County, Alabama",139946,2.8,7.1,28.7,22.4,9.4,19.3,10.2,90,29.5,13.9
0500000US01005,1005,"Barbour County, Alabama",18387,8.4,17.9,34.9,17.8,8.2,7.8,5.1,73.8,12.9,21.5
0500000US01007,1007,"Bibb County, Alabama",15750,5.8,13.5,41.8,21.1,5.8,6.2,5.8,80.7,12,14.8
0500000US01009,1009,"Blount County, Alabama",39472,6.9,13,32.9,22.5,11.6,8.9,4.1,80,13,14.9
0500000US01011,1011,"Bullock County, Alabama",7333,7.6,25.9,34.1,18.3,3.9,4.9,5.4,66.6,10.3,17.6
0500000US01013,1013,"Butler County, Alabama",13949,7.1,11.9,39.9,17.2,8,9.5,6.6,81.1,16.1,19.4
0500000US01015,1015,"Calhoun County, Alabama",78661,5.5,12.2,32.1,25.3,7.3,10.5,7.2,82.3,17.7,20.4
0500000US01017,1017,"Chambers County, Alabama",23854,5.6,14.2,39.4,20.3,8,8.7,3.7,80.3,12.5,17.7
0500000US01019,1019,"Cherokee County, Alabama",18694,5.9,12.9,36,23,8.4,7.8,6.1,81.3,14,21.4
0500000US01021,1021,"Chilton County, Alabama",29735,6.9,13.1,41.3,17,7,9.5,5.3,80.1,14.9,16.9
0500000US01023,1023,"Choctaw County, Alabama",9448,7.3,13.9,37.3,21.1,8.6,7.8,4.1,78.9,12,26.3
0500000US01025,1025,"Clarke County, Alabama",17022,4.9,14,45.1,16.9,6.8,7.7,4.4,81,12.1,15.8
0500000US01027,1027,"Clay County, Alabama",9446,11.5,13.9,34.6,20.9,8.1,6.6,4.4,74.6,11.1,16.4
0500000US01029,1029,"Cleburne County, Alabama",10366,7.5,18.3,38,19.7,5,6.3,5.2,74.2,11.5,22
0500000US01031,1031,"Coffee County, Alabama",34614,4.9,10,29.3,22.6,9.6,15.2,8.5,85.1,23.7,18.2
0500000US01033,1033,"Colbert County, Alabama",38271,5,11.5,34.8,22.5,7.6,11.8,6.7,83.4,18.5,19.6
0500000US01035,1035,"Conecuh County, Alabama",8808,6.7,13.9,46.2,18.4,6.2,4.9,3.7,79.4,8.7,21.4
0500000US01037,1037,"Coosa County, Alabama",7907,10.1,16.9,36.3,21.2,5.5,6.2,3.8,72.9,9.9,22.3
0500000US01039,1039,"Covington County, Alabama",26492,7.6,11.5,34.4,21.5,10.1,10,4.9,80.9,14.9,21.1
0500000US01041,1041,"Crenshaw County, Alabama",9551,9,12.7,38.5,18.3,6.8,10.9,3.7,78.3,14.6,19.5
0500000US01043,1043,"Cullman County, Alabama",56323,6.7,11.1,35.1,21.3,10.8,9.6,5.3,82.2,15,15.7
0500000US01045,1045,"Dale County, Alabama",33363,5.3,8.9,33.1,26.9,9.8,10.6,5.5,85.8,16.1,21
0500000US01047,1047,"Dallas County, Alabama",27038,6,14.9,36.5,20,8.8,8.3,5.5,79,13.8,18
0500000US01049,1049,"DeKalb County, Alabama",47440,12.3,15.1,34.3,17.8,9.2,6.6,4.7,72.6,11.4,15.4
0500000US01051,1051,"Elmore County, Alabama",54950,4,9.2,35.4,20.4,8.8,13.8,8.4,86.8,22.2,17.4
0500000US01053,1053,"Escambia County, Alabama",25762,5.9,13.6,43.4,18.5,6.9,7.4,4.2,80.5,11.6,20.2
0500000US01055,1055,"Etowah County, Alabama",71696,6,11.5,32.5,25.1,8.3,10.5,6,82.5,16.5,19.8
0500000US01057,1057,"Fayette County, Alabama",11806,7.6,13.1,39,19.9,6.1,8.9,5.3,79.2,14.1,27.5
0500000US01059,1059,"Franklin County, Alabama",20928,11.1,13.2,36.7,18.4,8.2,7.9,4.5,75.7,12.4,19
0500000US01061,1061,"Geneva County, Alabama",18805,8.6,13.7,36,22.2,7.8,8.3,3.4,77.7,11.7,22
0500000US01063,1063,"Greene County, Alabama",5965,7.9,15.2,41,20,6,7.7,2.3,76.9,10,26.2
0500000US01065,1065,"Hale County, Alabama",10229,5.8,12.8,42.8,17.7,6.8,9.7,4.3,81.4,14,21.3
0500000US01067,1067,"Henry County, Alabama",12221,6.4,12.9,36.1,20.9,7.5,9,7.1,80.7,16.1,19.7
0500000US01069,1069,"Houston County, Alabama",70773,4.5,10.6,32.1,23.1,8.7,13.6,7.4,84.9,21,17.7
0500000US01071,1071,"Jackson County, Alabama",37119,7.3,13.2,41.1,17.4,8.4,7.9,4.7,79.5,12.6,17.7
0500000US01073,1073,"Jefferson County, Alabama",446097,3.1,7.9,26.5,23.3,7.8,19,12.4,89,31.4,15
0500000US01075,1075,"Lamar County, Alabama",9998,8.5,14.1,35.4,22.5,6.4,8.1,4.9,77.4,13.1,23.2
0500000US01077,1077,"Lauderdale County, Alabama",63148,4.9,10.2,34.6,22.3,6.3,13,8.7,84.9,21.7,15.6
0500000US01079,1079,"Lawrence County, Alabama",23427,8.1,14.4,39.9,20.3,7.1,7.3,3.1,77.5,10.3,20.5
0500000US01081,1081,"Lee County, Alabama",90099,4.1,7.2,24.5,22.1,7.7,19.7,14.7,88.7,34.4,12.2
0500000US01083,1083,"Limestone County, Alabama",62036,6.2,10.6,32,21,6.9,15.6,7.6,83.2,23.3,15.1
0500000US01085,1085,"Lowndes County, Alabama",7165,6.8,18.4,37.7,17.5,7.3,9.5,2.8,74.8,12.3,23.3
0500000US01087,1087,"Macon County, Alabama",12414,6.1,13.5,31.2,23.1,6.1,11,9,80.5,20,17.3
0500000US01089,1089,"Madison County, Alabama",236871,2.9,6.3,20.9,21,8.2,25.4,15.3,90.8,40.7,12.8
0500000US01091,1091,"Marengo County, Alabama",13679,6.5,9.6,40.2,20.7,8.2,10.3,4.5,83.9,14.8,23.7
0500000US01093,1093,"Marion County, Alabama",21538,7.6,12.5,35,23.7,8.8,8,4.5,79.9,12.5,24.8
0500000US01095,1095,"Marshall County, Alabama",63366,9,12.4,31.9,22,8.1,10.9,5.7,78.6,16.6,16.8
0500000US01097,1097,"Mobile County, Alabama",274893,3.9,10.3,32.6,22.7,8,15.1,7.5,85.8,22.5,15.2
0500000US01099,1099,"Monroe County, Alabama",14893,6.5,11.4,45.1,16.9,7.7,7.8,4.6,82,12.4,13.3
0500000US01101,1101,"Montgomery County, Alabama",150072,4.7,9.8,25.4,22.1,6.5,19.1,12.4,85.5,31.5,16.3
0500000US01103,1103,"Morgan County, Alabama",82033,6.6,10.9,30.1,23.1,7.9,14.6,6.8,82.5,21.4,17.2
0500000US01105,1105,"Perry County, Alabama",5941,6.7,16.9,39.5,18.4,4,8,6.5,76.4,14.5,25.8
0500000US01107,1107,"Pickens County, Alabama",14084,6.1,12.8,39.9,22.5,7.6,7.8,3.3,81.1,11.1,24.9
0500000US01109,1109,"Pike County, Alabama",19618,5.5,14.5,32.7,18.3,5,14.7,9.3,80,24,16.4
0500000US01111,1111,"Randolph County, Alabama",15599,9.9,12.8,36.4,18.1,7.4,10,5.4,77.3,15.4,15.7
0500000US01113,1113,"Russell County, Alabama",38568,5.8,11.7,31.2,25.3,9.1,10.8,6.2,82.6,17,17.4
0500000US01115,1115,"St. Clair County, Alabama",60054,4.7,11.9,36.1,22.7,8.5,10.5,5.6,83.5,16.1,17.1
0500000US01117,1117,"Shelby County, Alabama",139017,2.7,5.7,21,21.8,7.3,27.4,14,91.6,41.4,11.4
0500000US01119,1119,"Sumter County, Alabama",8278,5.6,14.4,41.6,14.2,6.1,11,7.2,80,18.1,20
0500000US01121,1121,"Talladega County, Alabama",55993,7,13.2,35.7,22.8,8.2,8.1,5,79.8,13.1,18.9
0500000US01123,1123,"Tallapoosa County, Alabama",28910,5.4,14.9,35.3,20,7,11.7,5.7,79.6,17.3,18
0500000US01125,1125,"Tuscaloosa County, Alabama",123155,3.1,8.7,30.3,21.6,6.8,18.1,11.3,88.1,29.4,12
0500000US01127,1127,"Walker County, Alabama",45633,7.8,13.6,36.6,22.3,9.1,6.1,4.4,78.6,10.5,25.3
0500000US01129,1129,"Washington County, Alabama",11524,5.3,15,45.8,16.9,7.4,6.2,3.5,79.7,9.6,23.9
0500000US01131,1131,"Wilcox County, Alabama",7441,6.3,13.8,44.9,17.4,6.3,7.3,4,79.9,11.3,18.5
0500000US01133,1133,"Winston County, Alabama",17274,9.2,14.8,34.3,20.3,8.2,8,5.1,76,13.1,25.6
0500000US02013,2013,"Aleutians East Borough, Alaska",2545,8.3,7.3,42,23.3,7,9.8,2.1,84.4,11.9,7.8
0500000US02016,2016,"Aleutians West Census Area, Alaska",4153,5,7.5,40.3,25.1,6.4,11.5,4.2,87.5,15.7,7.8
0500000US02020,2020,"Anchorage Municipality, Alaska",191431,2.8,3.9,24,26.5,8.5,21.7,12.6,93.3,34.3,10.6
0500000US02050,2050,"Bethel Census Area, Alaska",9503,8.8,10.2,45.4,20.1,3.9,7.1,4.4,80.9,11.4,10.1
0500000US02060,2060,"Bristol Bay Borough, Alaska",649,3.4,4,34.8,31.4,7.2,13.4,5.7,92.6,19.1,12.8
0500000US02068,2068,"Denali Borough, Alaska",1503,0.8,3,23.4,25.7,8.6,29.9,8.6,96.2,38.5,9.3
0500000US02070,2070,"Dillingham Census Area, Alaska",2824,7.3,5.9,36.9,26.7,5.6,10.9,6.7,86.8,17.6,12.6
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",61221,1.7,3.9,22.2,29.7,9.2,20.7,12.7,94.4,33.4,10.4
0500000US02100,2100,"Haines Borough, Alaska",1847,1.2,3.4,25.7,23.2,6.2,27.8,12.7,95.5,40.4,16
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",1579,3.2,6.3,33.9,25.9,6.5,16.5,7.8,90.6,24.3,16
0500000US02110,2110,"Juneau City and Borough, Alaska",22288,1,3.3,21.2,27.6,7.4,25.3,14.2,95.6,39.4,9.8
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",39538,1.8,5.4,32.2,28.5,8.4,14.7,9,92.7,23.7,14.1
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",9428,2,5.9,31.7,29.4,7.1,15.6,8.2,92,23.8,13.9
0500000US02150,2150,"Kodiak Island Borough, Alaska",8998,5.1,4.3,27.3,30.3,8.3,17.4,7.4,90.7,24.8,11.8
0500000US02158,2158,"Kusilvak Census Area, Alaska",3773,8.1,13.5,52.2,19.3,2.1,2.9,1.9,78.4,4.8,10.3
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",835,6.2,7.4,42.5,27.5,3.8,7.5,4.9,86.3,12.5,11.1
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",62756,1.8,5.8,31.8,30,9.9,13.7,6.9,92.4,20.6,12.1
0500000US02180,2180,"Nome Census Area, Alaska",5406,5.1,10,43.1,23.9,4.1,10.3,3.6,84.9,13.9,10.7
0500000US02185,2185,"North Slope Borough, Alaska",6318,3.4,8.2,37.8,29.8,6.5,9.7,4.4,88.4,14.2,9.5
0500000US02188,2188,"Northwest Arctic Borough, Alaska",4042,6.9,14,45,19.2,4.2,7.4,3.3,79.1,10.8,10.3
0500000US02195,2195,"Petersburg Borough, Alaska",2115,2.1,5.5,33.7,24.6,9,18.2,6.8,92.4,25,13.7
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",4325,1.8,7.7,39.1,30.2,5.4,9.8,5.9,90.5,15.8,17
0500000US02220,2220,"Sitka City and Borough, Alaska",6296,2.3,5.1,25.7,25.8,8.8,18.2,14.1,92.6,32.4,12.3
0500000US02230,2230,"Skagway Municipality, Alaska",807,1.1,2.4,24.9,31.8,6.1,26.9,6.8,96.5,33.7,8.7
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",4495,3.3,6,33.4,27.5,10.6,11.1,8.1,90.7,19.2,14.6
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",6265,3.1,4.2,27.3,26.7,8.7,21.6,8.5,92.8,30.1,11.5
0500000US02275,2275,"Wrangell City and Borough, Alaska",1767,4.3,7.6,34.3,26.8,6.8,14,6.3,88.1,20.3,18.7
