Id,Id2,Geography,Total population,Male,Female,Median age (years),18 years and over,18 years and over - Male,18 years and over - Female,RACE-One-race,White,African American,Native American,Asian,Pacific Islander,Other,18 and over population,18 and over population - Male,18 and over population - Female,Median household income,Per capita income,Median earnings for male,Median earnings for female
0500000US01001,1001,"Autauga County, Alabama",55049,26877,28172,37.8,41196,19755,21441,53972,42311,10196,226,444,31,764,40692,19464,21228,53099,26168,48302,31865
0500000US01003,1003,"Baldwin County, Alabama",199510,97371,102139,42.3,155240,74793,80447,195494,172441,18594,1355,1338,0,1766,151769,72829,78940,51365,28069,47003,35150
0500000US01005,1005,"Barbour County, Alabama",26614,14239,12375,38.7,20879,11296,9583,26460,12430,12756,46,129,0,1099,20373,10909,9464,33956,17249,36801,26336
0500000US01007,1007,"Bibb County, Alabama",22572,12084,10488,40.2,17816,9589,8227,22261,17370,4788,81,14,0,8,17589,9478,8111,39776,18988,40051,29792
0500000US01009,1009,"Blount County, Alabama",57704,28572,29132,40.8,44103,21669,22434,56772,55073,905,201,92,0,501,42432,20677,21755,46212,21033,43397,35225
0500000US01011,1011,"Bullock County, Alabama",10552,5719,4833,39.2,8278,4562,3716,10437,2301,7967,84,84,0,1,8195,4562,3633,29335,17909,36079,21756
0500000US01013,1013,"Butler County, Alabama",20280,9522,10758,40.6,15547,7049,8498,20013,10876,8875,15,203,0,44,15427,6960,8467,34315,19011,39894,26380
0500000US01015,1015,"Calhoun County, Alabama",115883,55742,60141,39.1,90242,42668,47574,113256,86777,23791,382,1079,6,1221,88523,41809,46714,41954,22231,42009,31293
0500000US01017,1017,"Chambers County, Alabama",34018,16299,17719,43.1,26735,12581,14154,33628,19417,13779,78,312,0,42,26479,12417,14062,36027,21532,37466,29606
0500000US01019,1019,"Cherokee County, Alabama",25897,12883,13014,45.7,20571,10145,10426,25628,24156,1209,152,109,0,2,20507,10109,10398,38925,22544,40348,30877
0500000US01021,1021,"Chilton County, Alabama",43817,21559,22258,38.7,33227,16170,17057,43365,36740,4418,134,191,0,1882,31557,15281,16276,42594,22045,41434,31444
0500000US01023,1023,"Choctaw County, Alabama",13287,6349,6938,45.1,10527,4926,5601,13163,7495,5658,2,6,0,2,10516,4922,5594,32622,20773,47038,26484
0500000US01025,1025,"Clarke County, Alabama",24847,11738,13109,42,19229,8952,10277,24712,13253,11304,8,114,33,0,19194,8942,10252,32735,20543,50058,27760
0500000US01027,1027,"Clay County, Alabama",13483,6532,6951,43.7,10569,5038,5531,13362,11177,1993,124,0,0,68,10362,4961,5401,38815,21115,41800,26659
0500000US01029,1029,"Cleburne County, Alabama",14991,7423,7568,41.5,11473,5587,5886,14695,14176,354,21,86,0,58,11294,5473,5821,36316,19791,40256,31218
0500000US01031,1031,"Coffee County, Alabama",50991,25210,25781,39.3,38869,19011,19858,49283,38945,8766,421,623,0,528,37955,18560,19395,47872,25325,48515,30853
0500000US01033,1033,"Colbert County, Alabama",54377,26271,28106,42.4,42642,20170,22472,53130,43379,8532,328,255,31,605,42234,19916,22318,43786,23318,45326,30835
0500000US01035,1035,"Conecuh County, Alabama",12697,6028,6669,44,9877,4708,5169,12507,6593,5880,19,14,0,1,9823,4682,5141,27609,16004,40200,26631
0500000US01037,1037,"Coosa County, Alabama",10864,5355,5509,44.9,8872,4480,4392,10728,7204,3516,8,0,0,0,8756,4426,4330,31910,18080,33666,26996
